Student_ID,Age,Gender,Program,Year,Study_Hours_Per_Week,Attendance_Percent,Assignment_Score,Midterm_Score,Internet_Access,Previous_GPA,Extracurricular_Activities,Final_Score,Academic_Performance
STU0001,20,Female,Business Analytics,4,20.4,76.7,80.7,53.3,Yes,2.72,Multiple,100.0,High Distinction
STU0002,24,Male,Business Analytics,3,11.2,91.4,77.0,46.9,Yes,2.42,Sports,93.3,Distinction
STU0003,22,Male,Computer Science,3,16.5,86.0,59.1,69.6,Yes,2.08,None,100.0,Distinction
STU0004,21,Male,Information Technology,4,19.9,84.2,75.2,63.2,Yes,3.04,Sports,100.0,High Distinction
STU0005,19,Male,Information Technology,1,14.8,75.2,56.6,77.4,Yes,2.8,None,99.6,Distinction
STU0006,19,Female,Information Technology,1,17.7,95.7,68.7,66.8,Yes,2.41,Multiple,100.0,High Distinction
STU0007,18,Male,Business Analytics,4,11.9,90.0,85.4,71.1,Yes,3.59,None,100.0,High Distinction
STU0008,23,Female,Business Analytics,2,13.8,79.0,82.4,43.6,Yes,3.35,Volunteer,89.5,Distinction
STU0009,21,Female,Business Analytics,4,13.8,93.0,72.2,96.3,Yes,3.04,Club,100.0,High Distinction
STU0010,22,Female,Data Science,4,10.5,79.5,59.3,65.5,Yes,3.66,Sports,100.0,Distinction
STU0011,18,Female,Data Science,1,13.9,77.0,80.4,78.5,Yes,3.35,None,100.0,High Distinction
STU0012,24,Female,Data Science,4,5.7,77.2,72.3,55.5,Yes,2.68,Club,83.6,Distinction
STU0013,23,Male,Software Engineering,2,12.1,68.1,41.8,72.6,Yes,2.58,Club,76.3,Credit
STU0014,19,Male,Computer Science,2,13.3,88.2,82.2,48.5,Yes,3.42,None,100.0,High Distinction
STU0015,19,Male,Computer Science,3,13.5,67.5,71.7,74.8,Yes,3.23,Multiple,97.8,High Distinction
STU0016,19,Male,Computer Science,4,13.6,72.9,87.6,62.7,Yes,3.13,Sports,100.0,High Distinction
STU0017,20,Female,Data Science,1,14.6,65.3,57.8,68.4,Yes,2.67,Sports,88.6,Distinction
STU0018,21,Male,Software Engineering,2,17.9,83.2,30.7,78.5,Yes,3.32,Club,97.5,Distinction
STU0019,20,Female,Information Technology,3,20.2,82.6,75.6,49.5,No,2.71,None,89.3,Distinction
STU0020,20,Male,Software Engineering,3,11.1,81.1,75.8,57.7,Yes,3.0,Multiple,100.0,High Distinction
STU0021,21,Female,Computer Science,3,7.8,74.6,50.0,74.9,Yes,3.7,Sports,88.3,Distinction
STU0022,19,Female,Software Engineering,1,8.7,73.4,59.3,99.5,No,2.75,None,91.8,High Distinction
STU0023,20,Male,Information Technology,2,12.1,88.2,100.0,65.9,No,2.34,Sports,98.3,High Distinction
STU0024,20,Female,Computer Science,2,12.9,79.0,68.0,76.9,Yes,2.58,Club,91.0,High Distinction
STU0025,20,Female,Business Analytics,4,10.4,86.8,81.5,66.4,Yes,3.5,Sports,93.8,High Distinction
STU0026,22,Male,Information Technology,1,7.2,76.0,63.5,97.1,Yes,3.16,Club,88.9,High Distinction
STU0027,19,Female,Information Technology,1,12.3,85.6,44.8,41.8,No,2.99,None,77.3,Pass
STU0028,21,Male,Information Technology,4,16.1,95.7,69.8,69.4,Yes,2.82,None,100.0,High Distinction
STU0029,21,Male,Data Science,1,18.6,89.3,68.5,43.6,Yes,3.27,Volunteer,100.0,Distinction
STU0030,18,Male,Business Analytics,4,11.7,80.3,66.8,30.4,Yes,2.67,None,96.5,Distinction
STU0031,21,Female,Information Technology,3,12.5,86.3,70.5,72.5,Yes,3.19,Multiple,100.0,High Distinction
STU0032,19,Female,Business Analytics,4,9.4,81.8,75.4,70.1,Yes,2.72,None,99.4,High Distinction
STU0033,18,Female,Data Science,2,14.8,84.1,70.0,63.7,Yes,2.65,Volunteer,99.6,High Distinction
STU0034,24,Male,Information Technology,1,9.9,81.1,55.6,66.4,Yes,2.76,Sports,99.4,Distinction
STU0035,24,Female,Information Technology,3,18.4,82.5,78.3,100.0,Yes,2.88,Club,100.0,High Distinction
STU0036,22,Male,Computer Science,4,4.3,85.9,46.7,64.1,Yes,3.03,None,78.6,Credit
STU0037,20,Male,Computer Science,3,12.8,75.1,45.3,75.7,Yes,3.16,None,96.6,Distinction
STU0038,19,Female,Data Science,1,16.8,74.9,81.6,58.3,Yes,1.5,None,100.0,High Distinction
STU0039,22,Male,Computer Science,3,16.1,71.5,78.6,72.4,Yes,2.69,None,100.0,High Distinction
STU0040,20,Female,Business Analytics,3,31.2,69.6,71.3,64.4,Yes,2.87,Sports,100.0,High Distinction
STU0041,19,Female,Data Science,3,17.1,73.0,53.9,61.8,Yes,3.73,Sports,100.0,Distinction
STU0042,21,Female,Computer Science,3,9.0,85.4,62.8,95.3,Yes,2.56,Club,100.0,High Distinction
STU0043,18,Female,Business Analytics,4,14.4,76.0,68.6,85.7,Yes,3.12,Volunteer,100.0,High Distinction
STU0044,23,Female,Information Technology,3,4.3,88.6,51.3,70.1,Yes,3.72,Club,84.3,Distinction
STU0045,19,Male,Software Engineering,1,14.5,84.3,62.4,33.4,Yes,2.46,Club,77.4,Credit
STU0046,21,Male,Business Analytics,2,10.0,66.3,80.5,62.6,Yes,3.23,Sports,92.8,High Distinction
STU0047,20,Male,Data Science,1,20.5,89.9,90.6,100.0,Yes,2.69,Sports,100.0,High Distinction
STU0048,21,Female,Business Analytics,2,11.7,91.3,66.5,64.5,Yes,2.82,Sports,100.0,High Distinction
STU0049,21,Female,Computer Science,2,14.3,75.1,81.8,84.5,Yes,2.69,Volunteer,98.0,High Distinction
STU0050,19,Female,Business Analytics,1,11.2,87.8,,89.6,Yes,2.72,None,93.5,Distinction
STU0051,24,Male,Software Engineering,2,25.4,76.3,80.6,71.3,Yes,4.0,None,100.0,High Distinction
STU0052,22,Female,Business Analytics,1,13.1,84.9,61.5,55.4,Yes,3.43,Club,100.0,Distinction
STU0053,24,Male,Data Science,4,26.0,72.6,76.0,31.5,Yes,3.55,None,100.0,Distinction
STU0054,23,Male,Software Engineering,4,19.9,67.9,68.8,78.3,Yes,3.27,Multiple,100.0,High Distinction
STU0055,21,Female,Computer Science,1,17.9,80.6,89.2,55.8,Yes,2.33,Multiple,100.0,High Distinction
STU0056,23,Female,Computer Science,4,17.2,82.9,60.6,70.6,Yes,3.23,None,100.0,Distinction
STU0057,19,Male,Business Analytics,2,17.4,80.4,,49.3,Yes,3.53,None,100.0,High Distinction
STU0058,19,Female,Information Technology,2,3.4,73.3,68.4,64.0,Yes,2.67,Sports,71.1,Credit
STU0059,18,Male,Software Engineering,1,13.3,80.4,69.9,68.5,Yes,3.48,Club,100.0,High Distinction
STU0060,20,Female,Software Engineering,2,20.1,86.4,69.6,72.0,Yes,3.37,None,100.0,High Distinction
STU0061,20,Female,Information Technology,3,14.7,83.6,61.0,51.3,Yes,3.88,Club,100.0,Distinction
STU0062,20,Male,Computer Science,3,6.6,85.6,71.8,86.0,Yes,2.86,Club,92.2,High Distinction
STU0063,22,Female,Data Science,1,14.7,78.0,71.2,59.0,Yes,2.56,Sports,99.3,High Distinction
STU0064,20,Male,Information Technology,1,25.2,94.5,75.1,42.9,Yes,2.89,None,100.0,Distinction
STU0065,20,Female,Software Engineering,2,22.5,73.4,73.1,66.4,Yes,3.7,Volunteer,100.0,High Distinction
STU0066,21,Male,Information Technology,2,14.6,88.4,82.4,68.5,Yes,2.23,None,100.0,High Distinction
STU0067,19,Male,Data Science,1,20.7,94.6,84.0,70.4,Yes,2.12,Volunteer,100.0,High Distinction
